run_date,tier,model,spot,date,wind_mean,wind_max,gust,dir,rain,temp_lo,temp_hi,wave,period,wave_dir
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-03,6.4,9.4,15.6,47,2.0,20.5,23.2,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-04,5.4,8.0,15.4,54,1.3,20.6,23.3,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-05,5.0,7.8,14.4,52,1.4,20.4,22.9,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-06,5.3,8.3,14.8,56,2.3,20.3,22.7,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-07,4.4,7.5,14.4,56,1.5,20.3,22.7,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-08,5.1,8.0,14.4,57,1.0,20.1,22.7,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Keramoti / Thassos (E of Thassos open water),2026-10-09,5.2,8.0,15.4,60,2.7,19.6,22.4,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-03,11.1,14.7,23.5,44,1.5,19.7,22.3,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-04,9.8,13.3,22.9,49,0.9,19.6,22.3,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-05,9.2,12.6,22.4,48,1.1,19.6,22.1,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-06,9.5,13.0,22.5,50,1.4,19.3,21.9,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-07,8.5,12.1,21.0,50,1.4,19.3,21.8,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-08,9.0,12.4,22.0,49,1.3,19.2,21.8,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Samothrace (S of Samothrace open water),2026-10-09,8.5,11.7,22.5,55,2.9,18.7,21.5,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-03,9.6,12.7,21.8,43,1.4,19.3,21.3,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-04,8.6,11.8,21.0,47,1.5,19.4,21.3,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-05,7.9,10.7,19.2,44,1.5,19.2,21.1,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-06,8.1,11.4,19.8,49,1.6,19.0,20.7,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-07,7.2,10.2,18.5,49,1.2,19.0,20.8,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-08,7.5,10.7,19.8,50,0.9,18.9,20.9,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,West from Lemnos (open water),2026-10-09,7.5,10.5,20.0,56,1.5,18.5,20.4,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Thracian Sea (open water),2026-10-03,6.4,9.4,15.6,47,2.0,20.5,23.2,,,
2026-09-19T11:47+03:00,ec46,ecmwf_ec46_ensemble_mean,Thracian Sea (open water),2026-10-04,5.4,8.0,15.4,54,1.3,20.6,23.3,,,
